period,mr_id,project_id,reviewer_id,created_at,resolvable,resolved
Post-AI,358,170,11,2026-06-01T11:59:03.837Z,True,True
Post-AI,358,170,11,2026-06-01T11:58:40.227Z,True,True
Post-AI,358,170,11,2026-06-01T11:58:25.160Z,True,True
Post-AI,358,170,11,2026-06-01T11:58:06.030Z,True,True
Post-AI,358,170,11,2026-06-01T11:57:40.446Z,True,True
Post-AI,358,170,11,2026-06-01T11:57:23.494Z,True,True
Post-AI,358,170,11,2026-06-01T11:49:56.933Z,True,True
Post-AI,358,170,11,2026-06-01T11:48:30.365Z,True,True
Post-AI,358,170,185,2026-05-29T22:05:52.818Z,True,True
Post-AI,358,170,185,2026-05-29T22:04:58.500Z,True,True
Post-AI,358,170,185,2026-05-29T21:56:47.664Z,True,True
Post-AI,358,170,185,2026-05-29T21:52:15.614Z,True,True
Post-AI,358,170,185,2026-05-29T21:52:09.119Z,True,True
Post-AI,358,170,185,2026-05-29T21:51:58.182Z,True,True
Post-AI,358,170,185,2026-05-29T21:51:46.856Z,True,True
Post-AI,358,170,185,2026-05-29T21:51:40.191Z,True,True
Post-AI,358,170,185,2026-05-29T21:51:29.726Z,True,True
Post-AI,358,170,185,2026-05-29T21:50:28.799Z,True,True
Post-AI,352,170,231,2026-05-29T20:31:00.172Z,True,True
Post-AI,352,170,231,2026-05-29T20:29:45.068Z,True,True
Post-AI,352,170,222,2026-05-29T16:50:02.967Z,True,True
Post-AI,352,170,222,2026-05-29T16:50:02.722Z,True,True
Post-AI,352,170,231,2026-05-29T13:42:18.072Z,True,True
Post-AI,352,170,185,2026-05-29T08:27:30.078Z,True,True
Post-AI,352,170,231,2026-05-28T22:44:43.335Z,True,True
Post-AI,352,170,185,2026-05-28T20:58:53.504Z,True,True
Post-AI,352,170,231,2026-05-28T20:16:02.684Z,True,True
Post-AI,352,170,185,2026-05-28T20:04:08.258Z,True,True
Post-AI,350,170,4,2026-05-27T11:12:41.439Z,False,False
Post-AI,350,170,4,2026-05-27T05:24:06.855Z,True,True
Post-AI,350,170,4,2026-05-27T05:21:28.139Z,True,True
Post-AI,350,170,185,2026-05-26T22:44:45.677Z,True,True
Post-AI,350,170,185,2026-05-26T21:57:52.117Z,True,True
Post-AI,350,170,4,2026-05-26T17:07:26.243Z,True,True
Post-AI,350,170,222,2026-05-26T16:50:24.860Z,True,True
Post-AI,346,170,222,2026-05-22T17:44:57.279Z,True,True
Post-AI,346,170,185,2026-05-21T23:19:55.271Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:44.493Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:44.390Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:44.307Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:44.229Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:44.155Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:44.078Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:43.982Z,True,True
Post-AI,345,170,222,2026-05-21T18:01:43.774Z,True,True
Post-AI,344,170,7,2026-05-22T03:56:03.789Z,True,True
Post-AI,344,170,7,2026-05-22T03:45:01.642Z,True,True
Post-AI,344,170,185,2026-05-21T22:08:17.611Z,True,True
Post-AI,344,170,185,2026-05-21T22:07:00.184Z,True,True
Post-AI,344,170,222,2026-05-21T18:07:07.803Z,True,True
Post-AI,330,170,185,2026-05-13T05:01:34.276Z,True,True
Post-AI,330,170,185,2026-05-13T05:01:22.386Z,True,True
Post-AI,330,170,4,2026-05-13T04:31:23.329Z,True,True
Post-AI,330,170,4,2026-05-13T04:31:07.713Z,True,True
Post-AI,330,170,4,2026-05-13T04:29:14.872Z,True,True
Post-AI,330,170,4,2026-05-13T04:20:04.538Z,True,True
Post-AI,329,170,185,2026-06-02T18:11:00.373Z,False,False
Post-AI,329,170,12,2026-05-20T05:37:23.164Z,True,True
Post-AI,329,170,7,2026-05-13T10:48:55.612Z,True,True
Post-AI,328,170,4,2026-05-12T04:30:25.192Z,True,False
Post-AI,316,170,4,2026-05-11T11:03:41.356Z,True,True
Post-AI,316,170,4,2026-05-11T11:03:24.005Z,True,True
Post-AI,316,170,4,2026-05-11T11:03:13.161Z,True,True
Post-AI,316,170,4,2026-05-11T11:03:04.194Z,True,True
Post-AI,316,170,4,2026-05-11T11:02:58.181Z,True,True
Post-AI,316,170,4,2026-05-11T11:02:50.558Z,True,True
Post-AI,316,170,4,2026-05-11T11:02:43.999Z,True,True
Post-AI,316,170,4,2026-05-11T11:02:34.734Z,True,True
Post-AI,316,170,4,2026-05-11T11:02:26.694Z,True,True
Post-AI,316,170,185,2026-05-09T06:41:41.828Z,True,True
